source,target,count
FR421,BG411,5
FR421,CY000,1
FR421,CZ010,2
FR421,HU101,1
FR421,LV006,1
FR421,MT001,1
FR421,PL127,1
FR421,RO321,5
FR421,SK010,2
IS001,BG411,1
IS001,CZ010,1
IS001,EE008,1
IS001,ES300,1
IS001,HU101,2
IS001,PL127,1
IS001,PT200,1
IS001,RO321,3
IS001,SI021,1
IS001,SK010,1
LI000,BG411,1
LI000,CZ010,1
LI000,EE008,1
LI000,ES300,1
LI000,HU101,1
LI000,PL127,1
LI000,RO321,1
LI000,SI021,1
LI000,SK010,1
NO011,BE100,1
NO011,BG411,3
NO011,CY000,1
NO011,CZ010,3
NO011,EE001,5
NO011,EE008,2
NO011,ES300,2
NO011,GR300,1
NO011,HU101,5
NO011,LT00A,5
NO011,LV006,5
NO011,NO011,1
NO011,PL127,3
NO011,PT171,2
NO011,RO321,6
NO011,SI021,1
NO011,SK010,3
NO012,RO321,1
NO033,HU102,1
NO033,LV006,1
NO033,PT171,1
NO033,SK010,1
NO043,LT00A,1
NO043,LV006,1
NO043,PL127,1
NO043,RO321,1
NO051,BG411,1
NO051,CZ010,1
NO051,EE008,1
NO051,ES300,1
NO051,HU101,1
NO051,LT00A,1
NO051,LV006,1
NO051,PL127,1
NO051,RO321,1
NO051,SI021,1
NO051,SK010,1
NO061,BG411,2
NO061,CZ010,1
NO061,EE001,1
NO061,LT00A,4
NO061,LV006,1
NO061,PL127,2
NO061,RO321,3
NO073,BG411,1
NO073,SK010,1
